기업명,RIM기업가치,매출액증가율,순이익증가율,유동비율,순운전자본비율,부채비율,자기자본비율,매출총이익률,ROA,ROI,총자산회전율,시가총액
기업은행,311789.8071693449,0.0041137521810975,0.5672201046579236,1.074307608313423,0.0691679066017973,13.45757214768757,0.0691679066017973,0.6709476954945625,0.0081173777902936,0.0060941252070291,0.0218289710979348,80192.77922604303
카카오뱅크,33510.59826946848,0.3113113113113113,0.7966549295774648,1.1809185843433698,0.1532015726926396,5.527348136342232,0.1532015726926396,0.6907124681933843,0.0071281711205018,0.0056631363397992,0.0218090404854592,118343.86294938608
카카오페이,-5127.737948084054,0.6125175808720112,0.350597609561753,2.714353387020369,0.4217088589157223,0.9117286700824238,0.5230867829988056,1.0,-0.0079237917674134,-0.0098756081218865,0.1335974597255804,78119.9129043038
NAVER,3104720.929542645,0.2853452989197036,18.500118343195265,1.1749808415137029,0.0284645751090795,0.4021908321333144,0.7131696892345136,1.205717554564656,0.0393428512065536,0.489080169778279,0.2023567124751417,336526.9704558861
삼성카드,69932.19901112485,0.1039137973742878,0.3818956870611835,1.3827282498510003,0.276792095548957,2.6128199326527626,0.276792095548957,1.0,0.0276044237811392,0.0203026797621591,0.0985072317474819,35086.178585873415
신한지주,514416.0197775032,-0.0033707865168539,0.1756667905434378,1.082755192078766,0.0764301964878002,12.083833955073237,0.0764301964878002,0.794284239551215,0.0091831825919899,0.0063451146196834,0.0227171951279344,190500.7381063544
신세계,39523.62669962917,0.3243872266370327,-6.62807525325615,0.5471659209468236,-0.1609586280186155,1.367826464208243,0.4223313422990948,0.8050788423785701,0.0379200410421781,0.0285023269449228,0.4629264538825167,20754.63852835443
제주은행,2295.7231149567365,0.0076628352490421,0.0514285714285714,1.080254499634429,0.074292215085971,12.4603605349874,0.074292215085971,0.6089082020640956,0.0032545145589124,0.002649693269203,0.0265113331989286,6460.120387379746
푸른저축은행,3094.851668726823,0.0134615384615384,0.1095890410958904,1.3258908930928288,0.2457901285773538,3.068511643604455,0.2457901285773538,0.8387096774193549,0.0216507673164662,0.0201576109498133,0.0437163002903359,1520.0025812658228
DB손해보험,109426.28306551298,0.0603903960248704,0.5742110009017133,1.116039373240881,0.1039742647285935,8.617764574823617,0.1039742647285935,0.0676286646938588,0.0171177237319232,0.0134807479660734,0.2531134365791733,52783.640506329124
롯데손해보험,15234.363411619284,0.0153598856938739,-5.954545454545454,1.0559488977732114,0.052984474808579,17.873453093812376,0.052984474808579,0.0569041336851363,0.0068425060281737,0.0063401582131223,0.1202462033080925,4802.513476617722
한화손해보험,13809.967861557478,0.0236228354075606,0.9648033126293996,1.0775335451039554,0.0719546462903623,12.897643189915046,0.0719546462903623,0.021887936373415,0.0066206556568893,0.0046783337441459,0.3024796647769288,5169.982341325949
하나금융지주,459349.8096415327,0.0151608564062324,0.3339789191403777,1.0760246529630093,0.0706532631512325,13.153665001845107,0.0706530641245922,0.7988589832068093,0.00921712273953,0.0071283381494463,0.0216292201360028,127202.91135060758
우리금융지주,338277.8491965389,0.0389336301305137,0.8528247096092925,1.0689645610669185,0.0645152922544841,14.50020103846767,0.0645152922544841,0.7890284697868556,0.0081838813964456,0.006277954103446,0.0221266910548434,85600.56705413543
메리츠금융지주,102704.19901112485,0.0482323924362839,0.4948665297741273,1.091597070298985,0.0839110627824393,10.917379745180364,0.0839110627824393,1.98718954248366,0.0218819981250967,0.016861938610938,0.0233143851889958,89715.54010711392
DGB금융지주,65450.66996291719,0.0314759471705389,0.4321179208688906,1.0795099693762276,0.0736537610877005,12.577039179428825,0.0736537610877005,0.8966774148324688,0.0087141759597699,0.0064465811468349,0.0249097851139617,12252.367460031646
BNK금융지주,100980.38566131024,0.0751907010533963,0.4827586206896552,1.0865895502350846,0.0796892904191383,11.548624696768137,0.0796900699213482,0.7572353603603603,0.0085121641319853,0.006502607434892,0.0276879184952489,21664.792028741773
KB금융,574924.4499381953,0.050063165742767,0.2471270906815337,1.0784498878252324,0.072743192531117,12.74699082078689,0.072743192531117,0.8742743690379925,0.0091845738442689,0.0066040484063914,0.0229115773891023,200974.05253144304
한국금융지주,248008.88009888757,0.0647440794499618,1.051860465116279,1.099561041972429,0.0905461708554474,10.044089336438658,0.0905461708554474,1.6300149476831092,0.0185405050916298,0.0215099114297764,0.0203872417920781,31867.50810865823
JB금융지주,65778.39307787392,0.0474772539288668,0.3444216990788127,1.08309358735524,0.0767187511082424,12.034344881780571,0.0767205242962216,0.7545272688987155,0.0125594904567022,0.009316329642738,0.0336834788529601,17509.036476810128
롯데지주,39769.08529048208,0.092256729689873,-1.6295521138551696,1.0449967155682067,0.0103152811729804,1.0688835117817497,0.4833524914792264,0.264768410764844,0.0108624177412796,0.0075494807222202,0.4981904336433774,30969.472355405065
롯데정보통신,4385.547589616811,0.0947616244849911,0.1605351170568562,1.318574514038877,0.1179842687641647,0.7315327793167128,0.5775229969337422,0.100752688172043,0.0533262231702439,0.0462604986001866,1.2398346887081722,4345.663147316455
삼성SDI,153586.32262051915,0.1999504196621454,0.9816164817749604,1.205422822815322,0.0636700060387408,0.6999216935255681,0.5882623910316956,0.3114172298792905,0.0413266649118189,0.0484028304662217,0.5246427078333308,495095.9116291139
SK증권,5087.1236093943135,0.433389544688027,2.365853658536585,1.1075494984963583,0.0971058166180117,9.298044286406984,0.0971058166180117,1.0,0.0079731299243494,0.0064977869855918,0.0533634679976143,3480.297590941519
