기업명,RIM기업가치,매출액증가율,순이익증가율,유동비율,순운전자본비율,부채비율,자기자본비율,매출총이익률,ROA,ROI,총자산회전율
한신공영,5852.23115,-0.06826329,-0.105145414,1.518684452,0.216821316,2.232970965,0.309313016,0.018254748,0.016770239,0.017025624,0.519962544
한샘,-7360.936959,-0.103217999,-2.246503497,0.802242829,-0.083386378,1.469016614,0.405019551,0.049727623,-0.019732654,-0.064835864,1.819496226
GS건설,42881.19654,0.36104287,0.02891791,1.146986777,0.071170618,2.163922184,0.316063399,0.028140042,0.03273813,0.026034721,0.7257621
동아화성,1945.817058,0.210526316,0.167938931,1.25911252,0.118178533,0.949295775,0.513191182,0.035755149,0.052041923,0.055294543,1.263462233
화신,10146.72435,0.366893094,2.040983607,1.012749446,0.006868405,1.81507425,0.355265777,0.030290481,0.086999801,0.073860243,1.682560223
세방전지,5365.132262,0.089571006,-0.498826291,2.251620648,0.310852713,0.345906902,0.742993441,0.031769737,0.048360167,0.025462135,0.878413834
삼기,-3294.778739,0.038850347,1.280991736,0.784028324,-0.114613779,2.971807629,0.25177453,0.096355657,0.024008351,-0.057620042,1.094154489
HL홀딩스,384.6069221,0.226565501,-0.97645951,0.980532787,-0.005000219,1.26810585,0.440896531,0.047999374,0.03763323,0.001096539,0.560156147
피에이치에이,3569.343634,0.104355326,-0.247340426,2.076300985,0.312378814,0.455801515,0.686906827,0.031921125,0.023369732,0.028880498,1.045412797
삼영전자,2270.378245,-0.046462955,0.070588235,22.82317073,0.663638049,0.033729398,0.967550528,0.034679543,0.030224365,0.03374745,0.422399407
롯데에너지머티리얼즈,6460.3733,0.058789374,-0.224683544,8.137677054,0.518372217,0.221194915,0.818870098,0.024403619,0.034892812,0.02016212,0.300127556
엠씨넥스,2888.499382,0.098385019,-0.417721519,1.250505051,0.092039339,0.743448722,0.573575803,0.015875879,0.019855261,0.042679532,2.057153461
명신산업,11945.7157,0.36787939,0.89183223,1.49960032,0.201764769,1.421313184,0.412999032,0.045208553,0.136554396,0.092219951,1.630474551
포스코DX,6032.692213,0.326009433,-4.302158273,1.399907214,0.202442461,1.057004831,0.486143729,0.039646048,0.075974636,0.053898544,1.353569751
한온시스템,2459.876391,0.173613189,-0.914065014,1.043197135,0.01909043,2.839318115,0.260462918,0.024827011,0.028201521,0.002934453,0.948223942
현대오토에버,14623.48578,0.330419243,0.62745098,1.919090189,0.310071009,0.757581857,0.568985264,0.024541659,0.054363595,0.044361304,1.051576697
아시아나항공,15789.09271,0.43021407,-1.05127709,0.47592196,-0.232778162,17.80282281,0.053183504,0.049462677,0.04450291,0.001969484,0.461282915
레드캡투어,2727.336218,0.145041503,0.752066116,0.309444708,-0.233960444,2.226777374,0.30985689,0.24112934,0.058369513,0.034089082,0.421450394
제주항공,-26854.97651,1.572317832,-0.36136614,0.659840861,-0.174741524,4.425962166,0.18429911,0.158434164,-0.106696321,-0.10453234,0.42227699
